,Basic amount,Index rate,LCP rate,LCP amount,CEA,S2,T4 to V1,V1 rate,A to V2,V2 rate,V2 Maximum,Y factor,Abatement,Surtax
Federal,BPAF,0.027,0.15,750,1471,,,,,,,,,
AB,22323,0.02,,,,,,,,,,,,
BC,12932,0.028,,,,562,,,,,,,,
MB,BPAMB,0.012,0.15,1800,,,,,,,,,,
NB,13396,0.027,0.2,2000,,,,,,,,,,
NL,11067,0.023,,,,,,,,,,,,
NS,BPANS,0.031,0.2,2000,,,,,,,,,,
NT,17842,0.027,,,,,,,,,,,,
NU,19274,0.027,,,,,,,,,,,,
ON,12747,0.028,,,,294,0,0,20000,0,0,544.0,,
,,,,,,,5710,0.2,36000,0.06,300,,,
,,,,,,,7307,0.36,48000,0.06,450,,,
,,,,,,,,,72000,0.25,600,,,
,,,,,,,,,200000,0.25,750,,,
,,,,,,,,,,0.25,900,,,
PE,14250,¿,,,,,,,,,,,,
QC,¿,¿,,,,,,,,,,0.165,,
SK,18991,0.027,0.175,875,,,,,,,,,,
YT,BPAYT,0.027,,,1471,,,,,,,,,
Outside Canada,,,,,,,,,,,,,,0.48
